"","X","Age","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Male","Loyal.Customer","Business.travel","satisfied"
"1",1,52,0,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,0,1,1,1
"2",2,36,2,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,0,1,1,1
"3",3,20,0,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,1,0,1,0
"4",4,44,2,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,1,1,1,1
"5",5,49,0,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,0,1,1,1
"6",6,16,0,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,1,1,1,1
"7",7,77,2,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,0,1,1,1
"8",8,43,2,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,0,1,1,1
"9",9,47,0,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,1,1,1,1
"10",10,46,2,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,0,1,1,1
"11",11,47,0,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,0,1,1,1
"12",12,33,2,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,0,1,1,0
"13",13,46,2,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,0,1,1,1
"14",14,60,2,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,0,1,1,1
"15",15,52,2,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,0,1,1,1
"16",16,50,0,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,1,1,0,0
"17",17,31,0,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,0,1,1,0
"18",18,52,1,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,1,1,0,1
"19",19,43,0,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,0,1,0,0
"20",20,50,2,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,0,1,1,1
"21",21,60,2,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,1,1,1,1
"22",22,43,0,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,1,1,0,0
"23",23,55,0,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,1,1,0,0
"24",24,25,2,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,1,1,1,1
"25",25,30,0,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,0,0,1,0
"26",26,62,0,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,1,1,0,0
"27",27,24,2,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,1,1,1,1
"28",28,22,0,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,0,1,1,1
"29",29,44,2,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,1,1,1,1
"30",30,51,0,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,1,1,1,0
"31",31,43,2,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,1,1,0,0
"32",32,56,0,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,0,1,1,1
